Airline,Source,Destination,Arrival_Time,Duration,Total_Stops,Additional_Info,Price,Date_of_Journey,Route,Dep_Time
IndiGo,Banglore,New Delhi,01:10 22 Mar,2h 50m,non-stop,No info,3897.00,24/03/2019,BLR → DEL,22:20
Air India,Kolkata,Banglore,13:15,7h 25m,2 stops,No info,7662.00,1/05/2019,CCU → IXR → BBI → BLR,05:50
Jet Airways,Delhi,Cochin,04:25 10 Jun,19h,2 stops,No info,13882.00,9/06/2019,DEL → LKO → BOM → COK,09:25
IndiGo,Kolkata,Banglore,23:30,5h 25m,1 stop,No info,6218.00,12/05/2019,CCU → NAG → BLR,18:05
IndiGo,Banglore,New Delhi,21:35,4h 45m,1 stop,No info,13302.00,01/03/2019,BLR → NAG → DEL,16:50
SpiceJet,Kolkata,Banglore,11:25,2h 25m,non-stop,No info,3873.00,24/06/2019,CCU → BLR,09:00
Jet Airways,Banglore,New Delhi,10:25 13 Mar,15h 30m,1 stop,In-flight meal not included,11087.00,12/03/2019,BLR → BOM → DEL,18:55
Jet Airways,Banglore,New Delhi,05:05 02 Mar,21h 5m,1 stop,No info,22270.00,01/03/2019,BLR → BOM → DEL,08:00
Jet Airways,Banglore,New Delhi,10:25 13 Mar,25h 30m,1 stop,In-flight meal not included,11087.00,12/03/2019,BLR → BOM → DEL,08:55
Multiple carriers,Delhi,Cochin,19:15,7h 50m,1 stop,No info,8625.00,27/05/2019,DEL → BOM → COK,11:25
Air India,Delhi,Cochin,23:00,13h 15m,1 stop,No info,8907.00,1/06/2019,DEL → BLR → COK,09:45
IndiGo,Kolkata,Banglore,22:55,2h 35m,non-stop,No info,4174.00,18/04/2019,CCU → BLR,20:20
Air India,Chennai,Kolkata,13:55,2h 15m,non-stop,No info,4667.00,24/06/2019,MAA → CCU,11:40
Jet Airways,Kolkata,Banglore,09:20 10 May,12h 10m,1 stop,In-flight meal not included,9663.00,9/05/2019,CCU → BOM → BLR,21:10
IndiGo,Kolkata,Banglore,19:50,2h 35m,non-stop,No info,4804.00,24/04/2019,CCU → BLR,17:15
Air India,Delhi,Cochin,19:15 04 Mar,26h 35m,2 stops,No info,14011.00,3/03/2019,DEL → AMD → BOM → COK,16:40
SpiceJet,Delhi,Cochin,13:15,4h 30m,1 stop,No info,5830.00,15/04/2019,DEL → PNQ → COK,08:45
Jet Airways,Delhi,Cochin,12:35 13 Jun,22h 35m,1 stop,In-flight meal not included,10262.00,12/06/2019,DEL → BOM → COK,14:00
Air India,Delhi,Cochin,19:15 13 Jun,23h,2 stops,No info,13381.00,12/06/2019,DEL → CCU → BOM → COK,20:15
Jet Airways,Delhi,Cochin,12:35 28 May,20h 35m,1 stop,In-flight meal not included,12898.00,27/05/2019,DEL → BOM → COK,16:00
GoAir,Delhi,Cochin,19:20,5h 10m,1 stop,No info,19495.00,6/03/2019,DEL → BOM → COK,14:10
Air India,Banglore,New Delhi,13:20 19 Mar,15h 20m,1 stop,No info,6955.00,21/03/2019,BLR → COK → DEL,22:00
IndiGo,Banglore,Delhi,06:50,2h 50m,non-stop,No info,3943.00,3/04/2019,BLR → DEL,04:00
IndiGo,Banglore,Delhi,21:50,2h 55m,non-stop,No info,4823.00,1/05/2019,BLR → DEL,18:55
Jet Airways,Kolkata,Banglore,08:15 07 May,13h 20m,1 stop,In-flight meal not included,7757.00,6/05/2019,CCU → BOM → BLR,18:55
